Date,Symbol,Price,Chg%,High,Low,Open,Volume
2018-01-01,tcs,1296.94,-0.0206,1321.06,1291.75,1314.93,1350000
2018-01-02,tcs,1289.88,-0.0054,1308.71,1284.49,1304.0,1920000
2018-01-03,tcs,1293.54,0.0028,1308.41,1289.88,1290.28,1260000
2018-01-04,tcs,1302.58,0.0069999999999999,1304.98,1294.2,1299.1,913080
2018-01-05,tcs,1318.32,0.0121,1323.37,1299.1,1299.1,1150000
2018-01-08,tcs,1330.67,0.0093999999999999,1336.77,1314.71,1323.61,1240000
2018-01-09,tcs,1328.02,-0.002,1333.91,1312.12,1330.96,2150000
2018-01-10,tcs,1375.87,0.036,1380.48,1320.99,1329.0,3370000
2018-01-11,tcs,1367.98,-0.0056999999999999,1383.37,1363.91,1377.54,2520000
2018-01-12,tcs,1361.04,-0.0051,1375.09,1343.49,1375.09,3360000
2018-01-15,tcs,1346.21,-0.0109,1376.56,1340.79,1361.43,1460000
2018-01-16,tcs,1397.56,0.0381,1402.86,1348.39,1351.06,4270000
2018-01-17,tcs,1416.24,0.0134,1433.91,1403.1,1406.95,4280000
2018-01-18,tcs,1430.58,0.0101,1437.83,1405.99,1420.19,2210000
2018-01-19,tcs,1450.73,0.0141,1461.86,1423.45,1436.63,1820000
2018-01-22,tcs,1527.74,0.0530999999999999,1536.71,1432.44,1451.56,4370000
2018-01-23,tcs,1520.68,-0.0046,1540.46,1514.82,1527.03,3240000
2018-01-24,tcs,1556.27,0.0233999999999999,1597.67,1511.2,1514.8,5620000
2018-01-25,tcs,1530.02,-0.0169,1558.82,1510.39,1556.47,3830000
2018-01-29,tcs,1568.16,0.0249,1580.98,1530.49,1535.1,3140000
2018-01-30,tcs,1545.61,-0.0144,1570.59,1541.13,1558.92,1570000
2018-01-31,tcs,1525.76,-0.0128,1544.21,1519.02,1537.84,3040000
2018-02-01,tcs,1538.62,0.0084,1563.82,1514.21,1531.47,2400000
2018-02-02,tcs,1546.0,0.0048,1563.82,1521.39,1529.51,2460000
2018-02-05,tcs,1521.27,-0.016,1562.84,1508.35,1524.6,2760000
2018-02-06,tcs,1469.33,-0.0341,1508.5,1463.33,1475.58,2660000
2018-02-07,tcs,1448.64,-0.0141,1485.88,1444.92,1483.92,2180000
2018-02-08,tcs,1458.03,0.0065,1484.21,1450.58,1460.75,2760000
2018-02-09,tcs,1456.81,-0.0008,1467.74,1420.01,1446.17,2100000
2018-02-12,tcs,1454.65,-0.0015,1482.13,1448.89,1460.04,1970000
2018-02-14,tcs,1427.44,-0.0187,1458.15,1417.98,1455.97,2850000
2018-02-15,tcs,1434.33,0.0048,1442.74,1424.16,1437.32,2470000
2018-02-16,tcs,1437.86,0.0025,1470.48,1432.93,1432.93,2520000
2018-02-19,tcs,1433.23,-0.0032,1447.79,1419.3,1443.72,1570000
2018-02-20,tcs,1443.59,0.0072,1463.35,1435.33,1435.38,1890000
2018-02-21,tcs,1491.42,0.0331,1501.37,1451.09,1457.93,3090000
2018-02-22,tcs,1495.29,0.0026,1509.41,1481.71,1496.17,3460000
2018-02-23,tcs,1507.84,0.0084,1514.31,1466.81,1495.19,3360000
2018-02-26,tcs,1486.22,-0.0143,1514.78,1481.07,1507.45,1360000
2018-02-27,tcs,1491.44,0.0034999999999999,1509.19,1486.37,1490.78,1720000
2018-02-28,tcs,1487.86,-0.0024,1502.03,1481.19,1487.84,2710000
2018-03-01,tcs,1489.16,0.0009,1500.68,1480.48,1494.7,1720000
2018-03-05,tcs,1522.57,0.0224,1526.39,1486.83,1494.7,2860000
2018-03-06,tcs,1491.66,-0.0203,1532.94,1485.46,1530.49,1910000
2018-03-07,tcs,1484.14,-0.005,1514.31,1479.75,1505.0,1920000
2018-03-08,tcs,1472.62,-0.0078,1497.59,1464.55,1497.59,1950000
2018-03-09,tcs,1487.4,0.01,1501.66,1459.5,1473.13,1870000
2018-03-12,tcs,1496.24,0.0059,1511.81,1488.08,1491.76,2089999
2018-03-13,tcs,1415.19,-0.0542,1441.12,1407.93,1433.86,88070000
2018-03-14,tcs,1415.23,0.0,1432.96,1409.43,1418.2,3670000
2018-03-15,tcs,1406.8,-0.006,1422.91,1399.89,1419.21,2350000
2018-03-16,tcs,1385.23,-0.0153,1407.93,1375.09,1406.36,7200000
2018-03-19,tcs,1387.83,0.0019,1396.17,1382.44,1386.85,3490000
2018-03-20,tcs,1404.43,0.012,1408.52,1381.95,1382.44,4019999
2018-03-21,tcs,1400.45,-0.0028,1413.96,1397.15,1408.18,3910000
2018-03-22,tcs,1388.0,-0.0089,1409.87,1383.69,1402.02,2330000
2018-03-23,tcs,1381.53,-0.0046999999999999,1389.35,1371.68,1373.61,3650000
2018-03-26,tcs,1380.97,-0.0004,1386.07,1363.59,1381.95,2960000
2018-03-27,tcs,1396.02,0.0109,1403.52,1383.93,1384.89,2490000
2018-03-28,tcs,1396.73,0.0005,1409.4,1384.89,1390.23,6870000
