Date,Low,High,Open,Volume,Symbol,Price,Chg%
2018-09-27,2812.5,2883.0,2842.5,464960,britannia,2849.9,0.0032
2018-09-28,2767.1,2945.0,2897.0,886020,britannia,2911.75,0.0217
2018-10-01,2850.5,2940.0,2930.0,345990,britannia,2921.78,0.0034
2018-10-03,2851.0,2917.32,2912.0,267010,britannia,2869.7,-0.0178
2018-10-04,2775.2,2849.0,2849.0,637500,britannia,2812.68,-0.0199
2018-10-05,2690.07,2807.5,2807.5,518320,britannia,2723.85,-0.0316
2018-10-08,2673.57,2784.95,2694.5,459540,britannia,2771.75,0.0176
2018-10-09,2723.07,2839.45,2824.0,638170,britannia,2755.62,-0.0058
2018-10-10,2732.03,2875.0,2737.5,274440,britannia,2854.25,0.0358
2018-10-11,2745.3,2831.22,2762.5,274780,britannia,2785.1,-0.0242
2018-10-12,2810.65,2894.5,2834.72,435470,britannia,2878.75,0.0336
2018-10-15,2810.0,2892.47,2892.0,388950,britannia,2835.8,-0.0149
2018-10-16,2810.0,2885.0,2855.72,196320,britannia,2850.25,0.0051
2018-10-17,2752.55,2888.82,2879.5,378960,britannia,2770.53,-0.0279999999999999
2018-10-19,2737.5,2797.0,2774.0,341550,britannia,2781.75,0.004
2018-10-22,2775.5,2811.25,2808.5,190690,britannia,2790.07,0.003
2018-10-23,2726.12,2800.55,2784.5,384400,britannia,2742.28,-0.0171
2018-10-24,2655.0,2792.0,2762.75,484590,britannia,2680.07,-0.0227
2018-10-25,2628.0,2704.8,2655.0,496220,britannia,2654.65,-0.0095
2018-10-26,2628.6,2694.5,2669.72,267430,britannia,2660.25,0.0021
2018-10-29,2651.32,2724.5,2658.9,188160,britannia,2699.12,0.0146
2018-10-30,2687.7,2733.5,2710.0,269270,britannia,2723.95,0.0092
2018-10-31,2719.53,2833.03,2733.5,424200,britannia,2822.05,0.036
2018-11-01,2782.5,2858.93,2840.0,251860,britannia,2791.53,-0.0108
2018-11-02,2790.0,2862.5,2810.5,253580,britannia,2800.5,0.0032
2018-11-05,2805.5,2865.72,2807.0,183000,britannia,2857.25,0.0203
2018-11-06,2825.6,2899.5,2862.25,230170,britannia,2860.62,0.0012
2018-11-07,2871.12,2910.0,2871.12,77810,britannia,2905.22,0.0156
2018-11-09,2850.5,2944.5,2917.0,442250,britannia,2873.22,-0.011
